text,Class,clean_text
මම 3 නොයා ඉන්න හැදුවෙ.. ට්වීට් එකකුත් දැම්මා පළාතෙ යන්නෑ කියලා..ඒත් ජෙප්පො පෙරට්ටො ඒකට කුලප්පු වෙල දගලන දැගලීම දැක්… https://t.co/tvGCwNN2e7,Neutral,මම 3 නොයා ඉන්න හැදුවෙ.. ට්වීට් එකකුත් දැම්මා පළාතෙ යන්නෑ කියලා..ඒත් ජෙප්පො පෙරට්ටො ඒකට කුලප්පු වෙල දගලන දැගලීම දැක්…
"දැන් එක එකාගෙ එක එක ලොජික්,මාර පොර ටෝක්ස්,හෙනම කතන්තර.යකො ඔච්චර පට්ට ඔලු ගෙඩි ටිකක් තිබ්බ මේ රටට මෙහෙම උනේ කොහොමද ඉතින් 🥲🤌🏿",Hatespeech,"දැන් එක එකාගෙ එක එක ලොජික්,මාර පොර ටෝක්ස්,හෙනම කතන්තර.යකො ඔච්චර පට්ට ඔලු ගෙඩි ටිකක් තිබ්බ මේ රටට මෙහෙම උනේ කොහොමද ඉතින්"
දැන් මන්ත්‍රී පිස්සොන්ගෙ ගෙවල් වලට power cuts නැත්තෙ උන් මේ රටෙ උන් නෙමේ ද? උන්ගෙත් current කපපන් යකො 😄🫠,Hatespeech,දැන් මන්ත්රී පිස්සොන්ගෙ ගෙවල් වලට power cuts නැත්තෙ උන් මේ රටෙ උන් නෙමේ ද? උන්ගෙත් current කපපන් යකො
නිවසෙ සිට වැඩ කරන්නලු. කරන්ට එක කැපුවම මොකෙන්ද වැඩ කරන්නෙ මගුල #pucsl අපිටත් යන්න වෙන මෙ කරන කුණුහරුපෙ නිසා. පැය 2… https://t.co/mxVUZnqzby,Hatespeech,නිවසෙ සිට වැඩ කරන්නලු. කරන්ට එක කැපුවම මොකෙන්ද වැඩ කරන්නෙ මගුල අපිටත් යන්න වෙන මෙ කරන කුණුහරුපෙ නිසා. පැය 2…
එක දිගට පැය 10ක්.... යකො,Hatespeech,එක දිගට පැය 10ක්.... යකො
මූ බලහන්කො 😂😂😂 ඊයා යකො😂😂😂 https://t.co/rbmsjXP3yG,Neutral,මූ බලහන්කො ඊයා යකො
ඒසිගේ පුතේ පැය 7 ක් කරන්ට් එක කැපුවම අපි කොහොමද යකො වැඩ කරන්නේ,Hatespeech,ඒසිගේ පුතේ පැය 7 ක් කරන්ට් එක කැපුවම අපි කොහොමද යකො වැඩ කරන්නේ
"කියන්න ලැජ්ජයි!!!
ලංකාවේ කිසිම tv channel එකකින්වත් EMF එක කිව්වේ නෑ
ලැජ්ජයි යකො ලැජ්ජයි 💔🤮",Hatespeech,කියන්න ලැජ්ජයි!!! ලංකාවේ කිසිම tv channel එකකින්වත් EMF එක කිව්වේ නෑ ලැජ්ජයි යකො ලැජ්ජයි
EDM නෙවේ යකො IMF ගැන කතා කරන්න,Neutral,EDM නෙවේ යකො IMF ගැන කතා කරන්න
ගෑස් නැ කිරි පිටි නැ පෙට්‍රොල් නෑ යකො ලයිටුත්,Hatespeech,ගෑස් නැ කිරි පිටි නැ පෙට්රොල් නෑ යකො ලයිටුත්
රිප්ලයි කරගන්ඩ බෑ යකො 😥 මං මංඤං වෙනව,Hatespeech,රිප්ලයි කරගන්ඩ බෑ යකො මං මංඤං වෙනව
