text,Class
මම 3 නොයා ඉන්න හැදුවෙ.. ට්වීට් එකකුත් දැම්මා පළාතෙ යන්නෑ කියලා..ඒත් ජෙප්පො පෙරට්ටො ඒකට කුලප්පු වෙල දගලන දැගලීම දැක්… https://t.co/tvGCwNN2e7,Neutral
"දැන් එක එකාගෙ එක එක ලොජික්,මාර පොර ටෝක්ස්,හෙනම කතන්තර.යකො ඔච්චර පට්ට ඔලු ගෙඩි ටිකක් තිබ්බ මේ රටට මෙහෙම උනේ කොහොමද ඉතින් 🥲🤌🏿",Hatespeech
දැන් මන්ත්‍රී පිස්සොන්ගෙ ගෙවල් වලට power cuts නැත්තෙ උන් මේ රටෙ උන් නෙමේ ද? උන්ගෙත් current කපපන් යකො 😄🫠,Hatespeech
නිවසෙ සිට වැඩ කරන්නලු. කරන්ට එක කැපුවම මොකෙන්ද වැඩ කරන්නෙ මගුල #pucsl අපිටත් යන්න වෙන මෙ කරන කුණුහරුපෙ නිසා. පැය 2… https://t.co/mxVUZnqzby,Hatespeech
එක දිගට පැය 10ක්.... යකො,Hatespeech
මූ බලහන්කො 😂😂😂 ඊයා යකො😂😂😂 https://t.co/rbmsjXP3yG,Neutral
ඒසිගේ පුතේ පැය 7 ක් කරන්ට් එක කැපුවම අපි කොහොමද යකො වැඩ කරන්නේ,Hatespeech
"කියන්න ලැජ්ජයි!!!
ලංකාවේ කිසිම tv channel එකකින්වත් EMF එක කිව්වේ නෑ
ලැජ්ජයි යකො ලැජ්ජයි 💔🤮",Hatespeech
EDM නෙවේ යකො IMF ගැන කතා කරන්න,Neutral
ගෑස් නැ කිරි පිටි නැ පෙට්‍රොල් නෑ යකො ලයිටුත්,Hatespeech
රිප්ලයි කරගන්ඩ බෑ යකො 😥 මං මංඤං වෙනව,Hatespeech
රස්නෙ යකො 🥵,Hatespeech
"Ideas for more protest locations: කැලනියෙ නාගසලන්ගෙ පොට් එක,විමල්,ගොම්මන්පිල, වාසු වගෙ නැව ගිලෙනකොට පනින් උන්ගෙ ගෙ… https://t.co/Jiyb2XdSoE",Neutral
සිංහල ජාතිවාදය වපුරලා මුස්ලිම් ගෙවල් ගිනි තියන්න උසිගන්වපු අමන හැත්තකට ඡන්දෙ දීල දැන් ඒවම පාරාවලල්ලක් වෙලා එනකොට අ… https://t.co/KDy7gsEyy8,Neutral
"මෙච්ංහර දවසක් හැංගිලා හිටපු බො.බ.සෙ , වචනයක් නොකියපු මුස්ලිම් දෙමල ජාතී වාදී නායකයෝ ඉදිරි දිනවල ඔබව කුලප්පු කරනු ඇත… https://t.co/8C1XwdzYSZ",Neutral
මුස්ලිම් කෙල්ලගේ ලස්සන / ආදරේ &lt;&lt;&lt; 🍆💦 #චූටිපුතා,Neutral
අද උදේ ගියා තැපැල් කන්තෝරුවට. ඒ අයියා කියනවා දැන් දැන් මේ රට මෙහෙම වෙලා තියෙන හේතුව දේශපාලකයෝ අපිව brain wash කරල… https://t.co/DNaDfjakhu,Neutral
"සිංහල කෙල්ලෙක්ව ටොක් කරන් නැතුව මුස්ලිම් කෙල්ලෙක්ව ටෝක කරනවා.😏
ආදරේ තියෙනවා බං උන් ගාව ❤️",Neutral
"මේ ඔක්කොම අස්සෙ එක කාලකණ්නි සතුටක් තියෙනවා. මුස්ලිම් දෙමළ උන්ට රිද්දන්න තනි ජාතිවාදයෙන් ගෙනාපු තනි සිංහල ආණ්ඩුව,… https://t.co/pnYewbYkPE",Neutral
තනි සිංහල ජන්ද වලින් ඇවිල්ලා සිංහලුන්ටයි මුස්ලිම් උන්ටයි දෙමලුන්ටයි මදි නොකියන්නම අරිනවා කියලා එකෙක් කිව්වා...😂🐒… https://t.co/Xnf47ULcJ9,Neutral
"මැද පෙරදිග මුස්ලිම් මිනිස්සු දියූණු වුනේ, උන්ගේ අතට සල්ලි ටිකක් ලැබුන ගමන් ජාතිවාදය නවත්තලා පිටරටින් මිනිස්සු ගෙනල්… https://t.co/KEplzmbeLq",Neutral
"නිල්, කොල, රතු, සිංහල, දෙමළ, මුස්ලිම් අපි ඔක්කොම එකට පාරට බහිමුද? එකතු වෙන්න කාලය ඇවිත් #GoHomeRajapaksas #GoHomeGota2022 #එකතුවෙමු",Neutral
